Dataset,Model,Train_Size,Val_F1_Mean,Val_F1_Std,Test_F1_Mean,Test_F1_Std,Val_Acc_Mean,Test_Acc_Mean,Avg_Overfit_Gap,Avg_Best_Epoch,Maj_Baseline_Acc,Rand_Baseline_F1
bach,LSTM,10,0.714810210328106,0.028075559249720446,0.7133333333333333,0.023094010767585042,0.6733333333333333,0.6766666666666667,0.059548764030868284,10.333333333333334,0.5266666666666667,0.5129462041226747
bach,LSTM,50,0.7734143049932524,0.03730486024238881,0.5033333333333333,0.43821608064211126,0.7866666666666666,0.48333333333333334,0.1280986137610457,20.333333333333332,0.6366666666666667,0.5552632186295553
bach,LSTM,100,0.7805262275850512,0.06760099057884945,0.7233333333333333,0.015275252316519468,0.7866666666666666,0.75,0.010767749755437817,15.0,0.5366666666666666,0.5139301511850531
bach,LSTM,250,0.81045197740113,0.06629877906078438,0.7799999999999999,0.043588989435406775,0.8133333333333334,0.77,0.003917048393104657,35.0,0.5533333333333333,0.5215119284705575
bach,LSTM,500,0.8480260623747315,0.07199589663150453,0.84,0.03605551275463985,0.8666666666666667,0.84,0.031985470999971434,68.0,0.5166666666666667,0.5081861127289199
bach,QNLP,10,0.6485604913654099,0.05058676807864086,0.6633333333333333,0.03785938897200184,0.6133333333333333,0.5533333333333333,0.314402471597553,10.666666666666666,0.5266666666666667,0.5129462041226747
bach,QNLP,50,0.7878787878787878,0.17141982574219322,0.665,0.0636396103067893,0.8200000000000001,0.635,-0.02710292580982232,23.0,0.655,0.5601675552170602
bach,QNLP,100,0.7454702329594478,0.012202015205980302,0.63,0.014142135623730963,0.7,0.49,-0.008417520377685506,62.0,0.5449999999999999,0.515993265993266
sst2,LSTM,10,0.48891026668804444,0.42462125455797367,0.7766666666666667,0.03785938897200181,0.47333333333333333,0.6366666666666666,0.10138901091773471,3.3333333333333335,0.6366666666666666,0.5594458094458095
sst2,LSTM,50,0.8001625074094054,0.08634334504666023,0.66,0.150996688705415,0.7266666666666667,0.6,0.08872638147948338,14.666666666666666,0.62,0.48172262878461763
sst2,LSTM,100,0.7102940115440116,0.05905771279789075,0.7433333333333333,0.011547005383792535,0.5866666666666668,0.6233333333333333,0.0814481164300005,3.3333333333333335,0.5733333333333334,0.5339074505741173
sst2,LSTM,250,0.7023685256369031,0.016586738998865407,0.7133333333333333,0.025166114784235867,0.56,0.5566666666666666,0.060604347741764375,1.6666666666666667,0.5566666666666666,0.5265523447584551
sst2,LSTM,500,0.713553261822843,0.1394917620058477,0.7466666666666667,0.049328828623162534,0.64,0.6166666666666667,0.1043846652966524,6.333333333333333,0.5933333333333334,0.5415929529706619
sst2,QNLP,10,0.5771590265987548,0.06125265229660545,0.7399999999999999,0.062449979983984036,0.5266666666666667,0.6266666666666666,0.28395208451235615,4.0,0.6366666666666666,0.5594458094458095
sst2,QNLP,50,0.6800766283524905,0.1338393752851231,0.7366666666666667,0.1006644591369433,0.6266666666666667,0.6633333333333334,0.19933112539775308,33.0,0.62,0.48172262878461763
sst2,QNLP,100,0.5898974532341673,0.0629339386558528,0.6733333333333333,0.03511884584284244,0.5266666666666667,0.5433333333333333,0.19928438397026882,10.333333333333334,0.5733333333333334,0.5339074505741173
sst2,QNLP,250,0.7012820512820511,0.07461274116385368,0.6533333333333333,0.04725815626252608,0.66,0.5266666666666667,0.24803952494560363,52.333333333333336,0.5566666666666666,0.5265523447584551
sst2,QNLP,500,0.6480359147025814,0.05249214761525485,0.68,0.026457513110645856,0.5933333333333334,0.5666666666666667,0.2606801744728148,69.33333333333333,0.5933333333333334,0.5415929529706619
synthetic,LSTM,10,0.5127196433254656,0.4455981956074634,0.7466666666666667,0.058594652770823166,0.7266666666666667,0.66,0.15394702334120106,9.666666666666666,0.5499999999999999,0.5236053629116374
synthetic,LSTM,50,1.0,0.0,1.0,0.0,1.0,1.0,0.0,19.666666666666668,0.5366666666666667,0.5173704702006588
synthetic,LSTM,100,1.0,0.0,1.0,0.0,1.0,1.0,0.0,98.66666666666667,0.5433333333333333,0.520005884083554
synthetic,LSTM,250,1.0,0.0,1.0,0.0,1.0,1.0,0.0,99.0,0.5533333333333333,0.48852628023960615
synthetic,LSTM,500,1.0,0.0,1.0,0.0,1.0,1.0,0.0,94.33333333333333,0.5466666666666667,0.5222248391326977
synthetic,QNLP,10,0.7069968608301359,0.15594606032309902,0.7533333333333333,0.10969655114602893,0.7066666666666667,0.6699999999999999,0.06681266297938786,37.666666666666664,0.5499999999999999,0.5236053629116374
synthetic,QNLP,50,1.0,0.0,1.0,0.0,1.0,1.0,0.0,30.666666666666668,0.56,0.5282738969919362
synthetic,QNLP,100,1.0,0.0,1.0,0.0,1.0,1.0,0.0,56.333333333333336,0.5433333333333333,0.520005884083554
synthetic,QNLP,250,1.0,0.0,1.0,0.0,1.0,1.0,0.0,23.333333333333332,0.5533333333333333,0.48852628023960615
synthetic,QNLP,500,1.0,0.0,1.0,0.0,1.0,1.0,0.0,41.666666666666664,0.5466666666666667,0.5222248391326977
